MatchDay,Date,Time,LeagueJC,HomeTeamJC,AwayTeamJC,MAINLINE,CHL_LINE,CHL_H,CHL_L,prob_hi,prob_lo,kelly,bet,selected
SUNFB6292,2023-01-15,01:00:00,Italian Division 1 [ISA],Lecce,AC Milan,True,9.50,2.10,1.65,0.62,0.38,0.27,High,$$
SUNFB6296,2023-01-15,22:00:00,Italian Division 1 [ISA],Udinese,Bologna,True,9.50,2.08,1.66,0.59,0.41,0.21,High,$$
SUNFB6314,2023-01-15,22:00:00,Eng Premier [EPL],Newcastle,Fulham,True,10.50,1.87,1.83,0.38,0.62,0.16,Low,$
SUNFB6304,2023-01-15,04:00:00,Spanish Division 1 [SFL],Real Sociedad,Bilbao,True,9.50,2.04,1.69,0.35,0.65,0.15,Low,$
SATFB6291,2023-01-14,22:00:00,Italian Division 1 [ISA],Cremonese,Monza,True,9.50,2.17,1.61,0.53,0.47,0.13,High,$
SATFB6237,2023-01-14,04:00:00,Eng Premier [EPL],Aston Villa,Leeds,True,10.50,2.15,1.62,0.53,0.47,0.12,High,$
SUNFB6294,2023-01-15,19:30:00,Italian Division 1 [ISA],Sassuolo,Lazio,True,9.50,2.00,1.72,0.54,0.46,0.08,High,
SATFB6300,2023-01-14,21:00:00,Spanish Division 1 [SFL],Valladolid,Vallecano,True,9.50,1.68,2.05,0.47,0.53,0.08,Low,
MONFB6290,2023-01-16,01:00:00,Italian Division 1 [ISA],Atalanta,Salernitana,True,9.50,2.01,1.71,0.54,0.46,0.08,High,
SUNFB6315,2023-01-15,22:00:00,Eng Premier [EPL],Chelsea,Crystal Palace,True,10.50,2.20,1.59,0.34,0.66,0.07,Low,
SATFB6266,2023-01-14,23:00:00,Eng Premier [EPL],Everton,Southampton,True,10.50,2.20,1.59,0.49,0.51,0.07,High,
SUNFB6293,2023-01-15,03:45:00,Italian Division 1 [ISA],Inter Milan,Verona,True,9.50,1.79,1.91,0.57,0.43,0.02,High,
SUNFB6295,2023-01-15,22:00:00,Italian Division 1 [ISA],AC Torino,Spezia,True,9.50,2.13,1.63,0.47,0.53,0.01,High,
SATFB6245,2023-01-14,03:45:00,Italian Division 1 [ISA],Napoli,Juventus,True,9.50,1.88,1.82,0.50,0.50,,,
SATFB6262,2023-01-14,20:30:00,Eng Premier [EPL],Manchester Utd,Manchester City,True,9.50,1.85,1.85,0.50,0.50,,,
SATFB6267,2023-01-14,23:00:00,Eng Premier [EPL],Brighton,Liverpool,True,10.50,2.04,1.69,0.41,0.59,,,
SATFB6265,2023-01-14,23:00:00,Eng Premier [EPL],Nottingham Forest,Leicester,True,9.50,1.85,1.85,0.52,0.48,,,
SATFB6263,2023-01-14,23:00:00,Eng Premier [EPL],Wolves,West Ham,True,10.50,1.98,1.73,0.46,0.54,,,
SUNFB6297,2023-01-15,01:30:00,Eng Premier [EPL],Brentford,Bournemouth,True,10.50,1.92,1.78,0.47,0.53,,,
MONFB6264,2023-01-16,00:30:00,Eng Premier [EPL],Tottenham,Arsenal,True,9.50,1.80,1.90,0.50,0.50,,,
SATFB6246,2023-01-14,04:00:00,Spanish Division 1 [SFL],Celta Vigo,Villarreal,True,9.50,2.15,1.62,0.42,0.58,,,
SATFB6299,2023-01-14,23:15:00,Spanish Division 1 [SFL],Girona,Sevilla,True,8.50,1.88,1.82,0.51,0.49,,,
SUNFB6298,2023-01-15,01:30:00,Spanish Division 1 [SFL],Osasuna,Mallorca,True,8.50,1.67,2.07,0.52,0.48,,,
SUNFB6303,2023-01-15,21:00:00,Spanish Division 1 [SFL],Getafe,Espanyol,True,8.50,1.79,1.91,0.51,0.49,,,
SUNFB6302,2023-01-15,23:15:00,Spanish Division 1 [SFL],Almeria,Atletico Madrid,True,9.50,1.79,1.91,0.51,0.49,,,
TUEFB6301,2023-01-17,04:00:00,Spanish Division 1 [SFL],Cadiz,CF Elche,True,8.50,1.67,2.07,0.53,0.47,,,
