MatchDay,Date,Time,LeagueJC,HomeTeamJC,AwayTeamJC,MAINLINE,CHL_LINE,CHL_H,CHL_L,prob_hi,prob_lo,kelly,bet,selected
SATFB9093,2023-12-02,22:30:00,German Division 1 [GSL],RB Leipzig,Heidenheim,True,10.50,2.10,1.65,0.24,0.76,0.39,Low,$$$
SUNFB9138,2023-12-03,19:30:00,Italian Division 1 [ISA],Lecce,Bologna,True,8.50,1.85,1.85,0.71,0.29,0.38,High,$$$
SUNFB9098,2023-12-03,03:30:00,German Division 2 [GD2],Magdeburg,Kaiserslautern,True,10.50,2.05,1.68,0.30,0.70,0.25,Low,$
SATFB9048,2023-12-02,04:00:00,Spanish Division 1 [SFL],Las Palmas,Getafe,True,9.50,2.25,1.57,0.27,0.73,0.25,Low,$
SUNFB9135,2023-12-03,22:00:00,Italian Division 1 [ISA],Udinese,Verona,True,9.50,1.86,1.84,0.63,0.37,0.20,High,$
SUNFB9092,2023-12-03,01:30:00,German Division 1 [GSL],Stuttgart,Werder Bremen,True,10.50,2.15,1.62,0.31,0.69,0.20,Low,$
SUNFB9115,2023-12-03,04:00:00,Spanish Division 1 [SFL],Osasuna,Real Sociedad,True,8.50,1.80,1.90,0.39,0.61,0.18,Low,$
SATFB9164,2023-12-02,20:30:00,Eng Championship [ED1],West Bromwich,Leicester,True,10.50,2.13,1.63,0.57,0.43,0.18,High,$
SATFB9040,2023-12-02,03:30:00,German Division 1 [GSL],Darmstadt,Cologne,True,9.50,1.89,1.81,0.61,0.39,0.18,High,$
SUNFB9108,2023-12-03,04:00:00,French Division 1 [FFL],Nantes,Nice,True,9.50,2.10,1.65,0.57,0.43,0.18,High,$
MONFB9136,2023-12-04,03:45:00,Italian Division 1 [ISA],Napoli,Inter Milan,True,10.50,2.12,1.64,0.32,0.68,0.17,Low,$
SATFB9039,2023-12-02,03:45:00,Italian Division 1 [ISA],Monza,Juventus,True,9.50,1.82,1.88,0.62,0.38,0.16,High,$
SUNFB9169,2023-12-03,22:30:00,German Division 1 [GSL],Mainz,Freiburg,True,9.50,2.02,1.70,0.35,0.65,0.16,Low,$
