MatchDay,Date,Time,LeagueJC,HomeTeamJC,AwayTeamJC,MAINLINE,CHL_LINE,CHL_H,CHL_L,prob_hi,prob_lo,kelly,bet,selected
SUNFB5875,2024-05-05,20:00:00,Spanish Division 1 [SFL],Osasuna,Betis,True,9.50,1.87,1.83,0.32,0.68,0.30,Low,$$
SUNFB5873,2024-05-05,00:30:00,Spanish Division 1 [SFL],Girona,Barcelona,True,9.50,2.05,1.68,0.30,0.70,0.26,Low,$$
SATFB5868,2024-05-04,20:00:00,Spanish Division 1 [SFL],Real Sociedad,Las Palmas,True,9.50,1.95,1.75,0.32,0.68,0.26,Low,$$
SATFB5898,2024-05-04,22:00:00,Eng Premier [EPL],Brentford,Fulham,True,10.50,1.80,1.90,0.36,0.64,0.24,Low,$
SATFB5935,2024-05-04,19:30:00,Eng Championship [ED1],Plymouth,Hull City,True,11.50,1.98,1.73,0.33,0.67,0.22,Low,$
TUEFB5844,2024-05-07,03:00:00,Eng Premier [EPL],Crystal Palace,Manchester Utd,True,11.50,2.15,1.62,0.30,0.70,0.22,Low,$
SUNFB5859,2024-05-05,19:30:00,German Division 2 [GD2],Hannover,Paderborn,True,10.50,1.90,1.80,0.35,0.65,0.20,Low,$
SUNFB5927,2024-05-05,23:30:00,Eng Premier [EPL],Liverpool,Tottenham,True,12.50,2.10,1.65,0.32,0.68,0.18,Low,$
SATFB5753,2024-05-04,01:00:00,French Division 1 [FFL],Toulouse,Montpellier,True,9.50,1.86,1.84,0.62,0.38,0.17,High,$
SUNFB5964,2024-05-05,22:15:00,Spanish Division 2 [SF2],Espanyol,Gijon,True,9.50,1.81,1.89,0.40,0.60,0.14,Low,
SATFB5890,2024-05-04,23:00:00,French Division 1 [FFL],Monaco,Clermont,True,10.50,2.17,1.61,0.33,0.67,0.14,Low,
MONFB5965,2024-05-06,00:30:00,Spanish Division 2 [SF2],CD Eldense,Leganes,True,9.50,2.19,1.60,0.33,0.67,0.12,Low,
SATFB5966,2024-05-04,20:00:00,Spanish Division 2 [SF2],Mirandes,Valladolid,True,9.50,2.05,1.68,0.36,0.64,0.12,Low,
SATFB5762,2024-05-04,02:30:00,Eng League 1 [ED2],Barnsley,Bolton,True,10.50,1.98,1.73,0.37,0.63,0.12,Low,
SUNFB5892,2024-05-05,03:00:00,French Division 1 [FFL],Brest,Nantes,True,9.50,2.02,1.70,0.55,0.45,0.11,High,
SUNFB5855,2024-05-05,19:30:00,German Division 2 [GD2],Elversberg,Hertha Berlin,True,10.50,2.15,1.62,0.52,0.48,0.10,High,
SATFB5869,2024-05-04,22:15:00,Spanish Division 1 [SFL],Real Madrid,Cadiz,True,9.50,1.95,1.75,0.56,0.44,0.09,High,
SATFB5730,2024-05-04,00:30:00,German Division 2 [GD2],Dusseldorf,Nurnberg,True,10.50,1.93,1.77,0.40,0.60,0.08,Low,
SATFB5939,2024-05-04,19:30:00,Eng Championship [ED1],Ipswich,Huddersfield,True,10.50,1.83,1.87,0.43,0.57,0.08,Low,
SATFB5864,2024-05-04,21:30:00,German Division 1 [GSL],Dortmund,Augsburg,True,10.50,1.86,1.84,0.42,0.58,0.08,Low,
SATFB5734,2024-05-04,03:00:00,Spanish Division 1 [SFL],Getafe,Bilbao,True,8.50,1.80,1.90,0.45,0.55,0.05,Low,
SUNFB5876,2024-05-05,22:15:00,Spanish Division 1 [SFL],Celta Vigo,Villarreal,True,10.50,2.12,1.64,0.38,0.62,0.03,Low,
SUNFB5857,2024-05-05,19:30:00,German Division 2 [GD2],Wehen,Holstein Kiel,True,10.50,1.83,1.87,0.45,0.55,0.03,Low,
SUNFB5856,2024-05-05,02:30:00,German Division 2 [GD2],Kaiserslautern,Magdeburg,True,10.50,1.90,1.80,0.54,0.46,0.02,High,
MONFB5874,2024-05-06,03:00:00,Spanish Division 1 [SFL],Vallecano,Almeria,True,9.50,1.93,1.77,0.53,0.47,0.02,High,
SUNFB5894,2024-05-05,01:00:00,French Division 1 [FFL],Metz,Rennes,True,9.50,1.81,1.89,0.56,0.44,0.01,High,
SATFB5729,2024-05-04,00:30:00,German Division 2 [GD2],Hamburg,St. Pauli,True,10.50,1.92,1.78,0.47,0.53,,,
SATFB5854,2024-05-04,19:00:00,German Division 2 [GD2],Greuther Furth,Braunschweig,True,10.50,2.25,1.57,0.41,0.59,,,
SATFB5858,2024-05-04,19:00:00,German Division 2 [GD2],Rostock,Karlsruher,True,10.50,1.94,1.76,0.47,0.53,,,
SATFB5754,2024-05-04,03:00:00,French Division 1 [FFL],Lens,Lorient,True,9.50,1.88,1.82,0.52,0.48,,,
SATFB5891,2024-05-04,21:00:00,French Division 1 [FFL],Le Havre,Strasbourg,True,8.50,1.78,1.92,0.49,0.51,,,
TUEFB5893,2024-05-07,03:00:00,French Division 1 [FFL],Lille,Lyon,True,9.50,1.95,1.75,0.45,0.55,,,
SATFB5731,2024-05-04,02:30:00,German Division 1 [GSL],Hoffenheim,RB Leipzig,True,10.50,1.98,1.73,0.48,0.52,,,
SATFB5861,2024-05-04,21:30:00,German Division 1 [GSL],Werder Bremen,Monchengladbach,True,9.50,1.84,1.86,0.46,0.54,,,
SATFB5862,2024-05-04,21:30:00,German Division 1 [GSL],Stuttgart,Bayern Munich,True,9.50,1.82,1.88,0.49,0.51,,,
SATFB5866,2024-05-04,21:30:00,German Division 1 [GSL],Wolfsburg,Darmstadt,True,9.50,1.83,1.87,0.53,0.47,,,
SUNFB5863,2024-05-05,00:30:00,German Division 1 [GSL],Cologne,Freiburg,True,9.50,1.84,1.86,0.53,0.47,,,
SUNFB5865,2024-05-05,21:30:00,German Division 1 [GSL],Union Berlin,Bochum,True,9.50,1.82,1.88,0.47,0.53,,,
SUNFB5942,2024-05-05,23:30:00,German Division 1 [GSL],Frankfurt,Leverkusen,True,9.50,1.87,1.83,0.47,0.53,,,
MONFB5867,2024-05-06,01:30:00,German Division 1 [GSL],Heidenheim,Mainz,True,10.50,2.20,1.59,0.43,0.57,,,
SUNFB6006,2024-05-05,02:45:00,Eng League 1 [ED2],Oxford Utd,Peterborough,True,10.50,1.95,1.75,0.48,0.52,,,
SUNFB5870,2024-05-05,03:00:00,Spanish Division 1 [SFL],Mallorca,Atletico Madrid,True,9.50,2.19,1.60,0.41,0.59,,,
MONFB5871,2024-05-06,00:30:00,Spanish Division 1 [SFL],Valencia,Alaves,True,8.50,1.78,1.92,0.56,0.44,,,
MONFB5872,2024-05-06,03:00:00,Spanish Division 1 [SFL],Sevilla,CF Granada,True,9.50,1.97,1.74,0.48,0.52,,,
SATFB5845,2024-05-04,19:30:00,Eng Premier [EPL],Arsenal,Bournemouth,True,11.50,2.20,1.59,0.43,0.57,,,
SATFB5846,2024-05-04,22:00:00,Eng Premier [EPL],Burnley,Newcastle,True,10.50,1.86,1.84,0.50,0.50,,,
SATFB5847,2024-05-04,22:00:00,Eng Premier [EPL],Sheff Utd,Nottingham Forest,True,10.50,1.80,1.90,0.55,0.45,,,
SUNFB5843,2024-05-05,00:30:00,Eng Premier [EPL],Manchester City,Wolves,True,11.50,2.10,1.65,0.43,0.57,,,
SUNFB5928,2024-05-05,21:00:00,Eng Premier [EPL],Chelsea,West Ham,True,10.50,1.85,1.85,0.50,0.50,,,
SUNFB5929,2024-05-05,21:00:00,Eng Premier [EPL],Brighton,Aston Villa,True,11.50,2.20,1.59,0.40,0.60,,,
SATFB5938,2024-05-04,19:30:00,Eng Championship [ED1],Leeds,Southampton,True,10.50,1.94,1.76,0.48,0.52,,,
SUNFB5962,2024-05-05,20:00:00,Spanish Division 2 [SF2],Eibar,Amorebieta,True,9.50,2.00,1.72,0.49,0.51,,,
