MatchDay,Date,Time,LeagueJC,HomeTeamJC,AwayTeamJC,MAINLINE,CHL_LINE,CHL_H,CHL_L,prob_hi,prob_lo,kelly,bet,selected
SUN25,2022-05-22,23:30:00,Spanish Division 1 [SFL],CF Elche,Getafe,False,11.50,4.30,1.17,0.05,0.95,0.63,Low,
SUN25,2022-05-22,23:30:00,Spanish Division 1 [SFL],CF Elche,Getafe,False,9.50,2.45,1.48,0.15,0.85,0.53,Low,
SUN25,2022-05-22,23:30:00,Spanish Division 1 [SFL],CF Elche,Getafe,True,8.50,1.90,1.80,0.24,0.76,0.47,Low,$$$
SAT60,2022-05-22,03:00:00,French Division 1 [FFL],Lille,Rennes,False,13.50,4.75,1.14,0.07,0.93,0.43,Low,
SAT56,2022-05-22,03:00:00,French Division 1 [FFL],Lens,Monaco,False,13.50,4.55,1.15,0.08,0.92,0.39,Low,
SAT54,2022-05-22,03:00:00,French Division 1 [FFL],Marseille,Strasbourg,False,13.50,4.55,1.15,0.10,0.90,0.27,Low,
SAT60,2022-05-22,03:00:00,French Division 1 [FFL],Lille,Rennes,False,10.50,2.35,1.52,0.25,0.75,0.26,Low,
SAT56,2022-05-22,03:00:00,French Division 1 [FFL],Lens,Monaco,False,10.50,2.22,1.58,0.28,0.72,0.25,Low,
SAT60,2022-05-22,03:00:00,French Division 1 [FFL],Lille,Rennes,True,9.50,1.85,1.85,0.35,0.65,0.23,Low,$$
SAT56,2022-05-22,03:00:00,French Division 1 [FFL],Lens,Monaco,True,9.50,1.77,1.93,0.38,0.62,0.21,Low,$$
SAT54,2022-05-22,03:00:00,French Division 1 [FFL],Marseille,Strasbourg,False,11.50,2.80,1.38,0.22,0.78,0.21,Low,
SAT57,2022-05-22,03:00:00,French Division 1 [FFL],Angers SCO,Montpellier,False,13.50,4.55,1.15,0.10,0.90,0.20,Low,
SAT54,2022-05-22,03:00:00,French Division 1 [FFL],Marseille,Strasbourg,True,10.50,2.19,1.60,0.31,0.69,0.18,Low,$
SAT55,2022-05-22,03:00:00,French Division 1 [FFL],Paris Saint Germain,Metz,True,10.50,2.10,1.65,0.57,0.43,0.17,High,$
SUN21,2022-05-22,23:00:00,Eng Premier [EPL],Brighton,West Ham,False,14.50,5.10,1.12,0.09,0.91,0.16,Low,
SUN21,2022-05-22,23:00:00,Eng Premier [EPL],Brighton,West Ham,False,11.50,2.40,1.50,0.28,0.72,0.15,Low,
SAT55,2022-05-22,03:00:00,French Division 1 [FFL],Paris Saint Germain,Metz,False,11.50,2.70,1.40,0.46,0.54,0.14,High,
SUN51,2022-05-23,04:00:00,Spanish Division 1 [SFL],Barcelona,Villarreal,True,9.50,1.90,1.80,0.59,0.41,0.14,High,$
SUN21,2022-05-22,23:00:00,Eng Premier [EPL],Brighton,West Ham,True,10.50,1.92,1.78,0.38,0.62,0.13,Low,$
SAT57,2022-05-22,03:00:00,French Division 1 [FFL],Angers SCO,Montpellier,False,10.50,2.20,1.59,0.32,0.68,0.13,Low,
SUN51,2022-05-23,04:00:00,Spanish Division 1 [SFL],Barcelona,Villarreal,False,10.50,2.40,1.50,0.48,0.52,0.11,High,
SAT57,2022-05-22,03:00:00,French Division 1 [FFL],Angers SCO,Montpellier,True,9.50,1.75,1.95,0.43,0.57,0.11,Low,$
SUN46,2022-05-23,03:00:00,Italian Division 1 [ISA],Venezia,Cagliari,True,9.50,1.78,1.92,0.61,0.39,0.11,High,$
FRI7,2022-05-21,03:00:00,Spanish Division 1 [SFL],Real Madrid,Betis,True,10.50,2.19,1.60,0.50,0.50,0.09,High,
SUN46,2022-05-23,03:00:00,Italian Division 1 [ISA],Venezia,Cagliari,False,10.50,2.22,1.58,0.50,0.50,0.08,High,
FRI7,2022-05-21,03:00:00,Spanish Division 1 [SFL],Real Madrid,Betis,False,11.50,2.78,1.38,0.40,0.60,0.06,High,
SAT55,2022-05-22,03:00:00,French Division 1 [FFL],Paris Saint Germain,Metz,False,13.50,4.40,1.16,0.27,0.73,0.06,High,
FRI8,2022-05-21,03:00:00,Spanish Division 1 [SFL],Vallecano,Levante,True,9.50,1.92,1.78,0.55,0.45,0.05,High,
SAT62,2022-05-22,03:00:00,French Division 1 [FFL],Nantes,St. Etienne,True,9.50,1.85,1.85,0.56,0.44,0.05,High,
SAT63,2022-05-22,03:00:00,French Division 1 [FFL],Reims,Nice,True,9.50,1.90,1.80,0.55,0.45,0.05,High,
SUN51,2022-05-23,04:00:00,Spanish Division 1 [SFL],Barcelona,Villarreal,False,12.50,4.05,1.19,0.28,0.72,0.05,High,
FRI8,2022-05-21,03:00:00,Spanish Division 1 [SFL],Vallecano,Levante,False,10.50,2.45,1.48,0.43,0.57,0.04,High,
SAT62,2022-05-22,03:00:00,French Division 1 [FFL],Nantes,St. Etienne,False,10.50,2.35,1.52,0.45,0.55,0.04,High,
SAT48,2022-05-22,02:45:00,Italian Division 1 [ISA],Atalanta,Empoli,False,11.50,2.55,1.45,0.30,0.70,0.04,Low,
SAT63,2022-05-22,03:00:00,French Division 1 [FFL],Reims,Nice,False,10.50,2.40,1.50,0.43,0.57,0.03,High,
SUN8,2022-05-22,18:30:00,Italian Division 1 [ISA],Spezia,Napoli,False,10.50,2.40,1.50,0.32,0.68,0.03,Low,
SAT49,2022-05-22,02:45:00,Italian Division 1 [ISA],Lazio,Verona,True,9.50,1.87,1.83,0.55,0.45,0.03,High,
SAT48,2022-05-22,02:45:00,Italian Division 1 [ISA],Atalanta,Empoli,False,13.50,4.15,1.18,0.15,0.85,0.03,Low,
SAT48,2022-05-22,02:45:00,Italian Division 1 [ISA],Atalanta,Empoli,True,10.50,2.02,1.70,0.40,0.60,0.03,Low,
SUN8,2022-05-22,18:30:00,Italian Division 1 [ISA],Spezia,Napoli,True,9.50,1.90,1.80,0.43,0.57,0.03,Low,
SUN30,2022-05-23,00:00:00,Italian Division 1 [ISA],Inter Milan,Sampdoria,True,10.50,1.95,1.75,0.53,0.47,0.03,High,
MON4,2022-05-24,02:30:00,German Division 1 [GSL],Hamburg,Hertha Berlin,True,9.50,1.88,1.82,0.54,0.46,0.02,High,
SUN30,2022-05-23,00:00:00,Italian Division 1 [ISA],Inter Milan,Sampdoria,False,11.50,2.45,1.48,0.42,0.58,0.02,High,
SUN22,2022-05-22,23:00:00,Eng Premier [EPL],Brentford,Leeds,True,10.50,1.95,1.75,0.52,0.48,0.01,High,
MON4,2022-05-24,02:30:00,German Division 1 [GSL],Hamburg,Hertha Berlin,False,10.50,2.35,1.52,0.43,0.57,0.01,High,
SUN22,2022-05-22,23:00:00,Eng Premier [EPL],Brentford,Leeds,False,11.50,2.45,1.48,0.41,0.59,0.00,High,
SAT49,2022-05-22,02:45:00,Italian Division 1 [ISA],Lazio,Verona,False,10.50,2.30,1.54,0.44,0.56,0.00,High,
FRI8,2022-05-21,03:00:00,Spanish Division 1 [SFL],Vallecano,Levante,False,12.50,4.15,1.18,0.24,0.76,0.00,High,
