MatchDay,Date,Time,LeagueJC,HomeTeamJC,AwayTeamJC,MAINLINE,CHL_LINE,CHL_H,CHL_L,prob_hi,prob_lo,kelly,bet,selected
SUN14,2021-09-19,19:30:00,German Division 2 [GD2],St. Pauli,Ingolstadt,False,13.50,5.10,1.12,0.07,0.93,0.33,Low,
SUN14,2021-09-19,19:30:00,German Division 2 [GD2],St. Pauli,Ingolstadt,False,10.50,2.25,1.57,0.25,0.75,0.32,Low,
SUN14,2021-09-19,19:30:00,German Division 2 [GD2],St. Pauli,Ingolstadt,True,9.50,1.80,1.90,0.34,0.66,0.28,Low,$$
FRI20,2021-09-18,03:00:00,French Division 1 [FFL],Strasbourg,Metz,False,10.50,2.40,1.50,0.27,0.73,0.19,Low,
SUN37,2021-09-19,23:30:00,Eng Premier [EPL],Tottenham,Chelsea,False,11.50,2.43,1.49,0.27,0.73,0.19,Low,
SUN37,2021-09-19,23:30:00,Eng Premier [EPL],Tottenham,Chelsea,True,10.50,1.92,1.78,0.36,0.64,0.18,Low,$
SUN37,2021-09-19,23:30:00,Eng Premier [EPL],Tottenham,Chelsea,False,13.50,4.05,1.19,0.13,0.87,0.17,Low,
SUN38,2021-09-19,23:30:00,German Division 1 [GSL],Dortmund,Union Berlin,False,10.50,2.35,1.52,0.28,0.72,0.17,Low,
FRI20,2021-09-18,03:00:00,French Division 1 [FFL],Strasbourg,Metz,True,9.50,1.90,1.80,0.37,0.63,0.17,Low,$
SAT67,2021-09-18,22:15:00,Spanish Division 1 [SFL],Atletico Madrid,Bilbao,False,10.50,2.55,1.45,0.26,0.74,0.17,Low,
SAT67,2021-09-18,22:15:00,Spanish Division 1 [SFL],Atletico Madrid,Bilbao,True,9.50,1.97,1.73,0.36,0.64,0.16,Low,$
SUN38,2021-09-19,23:30:00,German Division 1 [GSL],Dortmund,Union Berlin,True,9.50,1.87,1.83,0.38,0.62,0.15,Low,$
SUN38,2021-09-19,23:30:00,German Division 1 [GSL],Dortmund,Union Berlin,False,12.50,4.05,1.19,0.14,0.86,0.14,Low,
SUN13,2021-09-19,19:30:00,German Division 2 [GD2],Aue,Paderborn,True,9.50,1.95,1.75,0.58,0.42,0.14,High,$
FRI20,2021-09-18,03:00:00,French Division 1 [FFL],Strasbourg,Metz,False,12.50,4.30,1.17,0.13,0.87,0.13,Low,
SUN13,2021-09-19,19:30:00,German Division 2 [GD2],Aue,Paderborn,False,10.50,2.45,1.48,0.48,0.52,0.12,High,
SUN54,2021-09-20,01:30:00,German Division 1 [GSL],Wolfsburg,Frankfurt,True,10.50,2.07,1.67,0.36,0.64,0.11,Low,$
SUN54,2021-09-20,01:30:00,German Division 1 [GSL],Wolfsburg,Frankfurt,False,11.50,2.65,1.42,0.27,0.73,0.10,Low,
SAT21,2021-09-18,19:30:00,Eng Premier [EPL],Wolves,Brentford,True,10.50,2.25,1.57,0.33,0.67,0.10,Low,
SAT71,2021-09-18,23:00:00,French Division 1 [FFL],Lens,Lille,True,9.50,1.93,1.77,0.40,0.60,0.09,Low,
SUN17,2021-09-19,21:00:00,Eng Premier [EPL],West Ham,Manchester Utd,True,10.50,2.02,1.70,0.38,0.62,0.08,Low,
SUN12,2021-09-19,19:30:00,German Division 2 [GD2],Darmstadt,Dresden,True,9.50,1.88,1.82,0.56,0.44,0.07,High,
FRI4,2021-09-18,00:30:00,German Division 2 [GD2],Schalke 04,Karlsruher,False,10.50,2.25,1.57,0.34,0.66,0.06,Low,
SAT71,2021-09-18,23:00:00,French Division 1 [FFL],Lens,Lille,False,10.50,2.50,1.46,0.30,0.70,0.06,Low,
SAT21,2021-09-18,19:30:00,Eng Premier [EPL],Wolves,Brentford,False,11.50,2.95,1.34,0.24,0.76,0.06,Low,
FRI3,2021-09-18,00:30:00,German Division 2 [GD2],Nurnberg,Rostock,True,9.50,1.90,1.80,0.56,0.44,0.06,High,
SAT67,2021-09-18,22:15:00,Spanish Division 1 [SFL],Atletico Madrid,Bilbao,False,13.50,5.80,1.09,0.08,0.92,0.06,Low,
SAT33,2021-09-18,21:30:00,German Division 1 [GSL],Augsburg,Monchengladbach,True,9.50,1.93,1.77,0.41,0.59,0.06,Low,
SAT32,2021-09-18,21:30:00,German Division 1 [GSL],Bayern Munich,Bochum,True,10.50,1.78,1.92,0.45,0.55,0.06,Low,
FRI19,2021-09-18,03:00:00,Spanish Division 1 [SFL],Celta Vigo,Cadiz,False,9.50,2.58,1.44,0.42,0.58,0.06,High,
SUN12,2021-09-19,19:30:00,German Division 2 [GD2],Darmstadt,Dresden,False,10.50,2.35,1.52,0.46,0.54,0.05,High,
SAT33,2021-09-18,21:30:00,German Division 1 [GSL],Augsburg,Monchengladbach,False,10.50,2.45,1.48,0.31,0.69,0.05,Low,
SUN17,2021-09-19,21:00:00,Eng Premier [EPL],West Ham,Manchester Utd,False,11.50,2.60,1.43,0.28,0.72,0.05,Low,
SUN54,2021-09-20,01:30:00,German Division 1 [GSL],Wolfsburg,Frankfurt,False,13.50,4.40,1.16,0.13,0.87,0.05,Low,
SAT32,2021-09-18,21:30:00,German Division 1 [GSL],Bayern Munich,Bochum,False,11.50,2.20,1.59,0.35,0.65,0.05,Low,
FRI19,2021-09-18,03:00:00,Spanish Division 1 [SFL],Celta Vigo,Cadiz,True,8.50,1.95,1.75,0.54,0.46,0.05,High,
FRI4,2021-09-18,00:30:00,German Division 2 [GD2],Schalke 04,Karlsruher,True,9.50,1.83,1.87,0.44,0.56,0.04,Low,
SUN13,2021-09-19,19:30:00,German Division 2 [GD2],Aue,Paderborn,False,13.50,5.55,1.10,0.22,0.78,0.04,High,
FRI3,2021-09-18,00:30:00,German Division 2 [GD2],Nurnberg,Rostock,False,10.50,2.35,1.52,0.45,0.55,0.04,High,
