MatchDay,Date,Time,LeagueJC,HomeTeamJC,AwayTeamJC,MAINLINE,CHL_LINE,CHL_H,CHL_L,prob_hi,prob_lo,kelly,bet,selected
SUNFB6287,2023-10-01,21:00:00,Eng Premier [EPL],Nottingham Forest,Brentford,True,10.50,2.25,1.57,0.29,0.71,0.20,Low,$
SUNFB6353,2023-10-01,21:00:00,French Division 1 [FFL],Toulouse,Metz,True,9.50,2.13,1.63,0.57,0.43,0.19,High,$
SUNFB6303,2023-10-01,00:30:00,Eng Premier [EPL],Tottenham,Liverpool,True,10.50,1.92,1.78,0.38,0.62,0.14,Low,
SUNFB6357,2023-10-01,02:45:00,Italian Division 1 [ISA],Salernitana,Inter Milan,True,9.50,1.88,1.82,0.40,0.60,0.11,Low,
SATFB6264,2023-09-30,00:30:00,German Division 2 [GD2],Hamburg,Dusseldorf,True,10.50,1.97,1.74,0.56,0.44,0.10,High,
SUNFB6363,2023-10-01,00:30:00,Spanish Division 1 [SFL],Girona,Real Madrid,True,9.50,2.13,1.63,0.35,0.65,0.09,Low,
SUNFB6312,2023-10-01,23:30:00,German Division 1 [GSL],Freiburg,Augsburg,True,9.50,1.87,1.83,0.57,0.43,0.08,High,
SATFB6358,2023-09-30,21:00:00,Italian Division 1 [ISA],Lecce,Napoli,True,9.50,1.88,1.82,0.57,0.43,0.08,High,
SATFB6276,2023-09-30,03:00:00,French Division 1 [FFL],Strasbourg,Lens,True,9.50,2.08,1.66,0.37,0.63,0.07,Low,
SATFB6305,2023-09-30,19:30:00,Eng Premier [EPL],Aston Villa,Brighton,True,10.50,2.20,1.59,0.49,0.51,0.06,High,
SUNFB6313,2023-10-01,00:30:00,German Division 1 [GSL],RB Leipzig,Bayern Munich,True,9.50,1.87,1.83,0.44,0.56,0.04,Low,
SATFB6360,2023-09-30,22:15:00,Spanish Division 1 [SFL],Vallecano,Mallorca,True,9.50,1.95,1.75,0.53,0.47,0.04,High,
MONFB6352,2023-10-02,02:45:00,French Division 1 [FFL],Rennes,Nantes,True,9.50,1.90,1.80,0.43,0.57,0.02,Low,
SATFB6308,2023-09-30,22:00:00,Eng Premier [EPL],Everton,Luton,True,10.50,2.05,1.68,0.40,0.60,0.02,Low,
SUNFB6321,2023-10-01,19:30:00,German Division 2 [GD2],Nurnberg,Magdeburg,True,10.50,2.12,1.64,0.48,0.52,0.02,High,
