MatchDay,Date,Time,LeagueJC,HomeTeamJC,AwayTeamJC,MAINLINE,CHL_LINE,CHL_H,CHL_L,prob_hi,prob_lo,kelly,bet,selected
SAT31,2022-03-26,23:00:00,Eng League 1 [ED2],Ipswich,Plymouth,False,14.50,4.40,1.16,0.09,0.91,0.34,Low,
SAT31,2022-03-26,23:00:00,Eng League 1 [ED2],Ipswich,Plymouth,False,11.50,2.15,1.62,0.29,0.71,0.24,Low,
SUN10,2022-03-28,00:15:00,Spanish Division 2 [SF2],Alcorcon,Valladolid,True,9.50,2.00,1.72,0.61,0.39,0.22,High,$$
SAT31,2022-03-26,23:00:00,Eng League 1 [ED2],Ipswich,Plymouth,True,10.50,1.75,1.95,0.39,0.61,0.20,Low,$
SUN10,2022-03-28,00:15:00,Spanish Division 2 [SF2],Alcorcon,Valladolid,False,10.50,2.55,1.45,0.50,0.50,0.17,High,
MON6,2022-03-29,03:00:00,Spanish Division 2 [SF2],Las Palmas,Leganes,False,9.50,2.35,1.52,0.30,0.70,0.13,Low,
SAT30,2022-03-26,23:00:00,Spanish Division 2 [SF2],Eibar,Lugo,True,9.50,2.10,1.65,0.54,0.46,0.12,High,$
MON6,2022-03-29,03:00:00,Spanish Division 2 [SF2],Las Palmas,Leganes,True,8.50,1.85,1.85,0.41,0.59,0.11,Low,$
MON6,2022-03-29,03:00:00,Spanish Division 2 [SF2],Las Palmas,Leganes,False,11.50,4.15,1.18,0.14,0.86,0.10,Low,
SAT30,2022-03-26,23:00:00,Spanish Division 2 [SF2],Eibar,Lugo,False,10.50,2.70,1.40,0.43,0.57,0.10,High,
SUN10,2022-03-28,00:15:00,Spanish Division 2 [SF2],Alcorcon,Valladolid,False,12.50,4.40,1.16,0.29,0.71,0.08,High,
SUN13,2022-03-28,03:00:00,Spanish Division 2 [SF2],Almeria,Girona,False,10.50,2.70,1.40,0.27,0.73,0.07,Low,
SUN13,2022-03-28,03:00:00,Spanish Division 2 [SF2],Almeria,Girona,True,9.50,2.13,1.63,0.37,0.63,0.05,Low,
SAT30,2022-03-26,23:00:00,Spanish Division 2 [SF2],Eibar,Lugo,False,12.50,4.70,1.14,0.24,0.76,0.04,High,
SUN13,2022-03-28,03:00:00,Spanish Division 2 [SF2],Almeria,Girona,False,12.50,4.70,1.14,0.12,0.88,0.02,Low,
FRI33,2022-03-26,04:00:00,Spanish Division 2 [SF2],Zaragoza,Amorebieta,True,9.50,2.10,1.65,0.48,0.52,0.02,High,
FRI33,2022-03-26,04:00:00,Spanish Division 2 [SF2],Zaragoza,Amorebieta,False,10.50,2.70,1.40,0.37,0.63,0.01,High,
SAT24,2022-03-26,21:00:00,Spanish Division 2 [SF2],UD Ibiza,Real Sociedad B,False,12.50,4.15,1.18,0.19,0.81,,,
SAT53,2022-03-27,01:00:00,Spanish Division 2 [SF2],Gijon,Cartagena,False,12.50,5.10,1.12,0.12,0.88,,,
SAT65,2022-03-27,04:30:00,Spanish Division 2 [SF2],Oviedo,Fuenlabrada,False,12.50,4.15,1.18,0.18,0.82,,,
SUN3,2022-03-27,20:00:00,Spanish Division 2 [SF2],Mirandes,Ponferradina,False,12.50,4.90,1.13,0.13,0.87,,,
SUN7,2022-03-27,22:00:00,Spanish Division 2 [SF2],Burgos,Tenerife,False,9.50,2.40,1.50,0.41,0.59,,,
SUN11,2022-03-28,00:15:00,Spanish Division 2 [SF2],Malaga,Huesca,False,10.50,2.60,1.43,0.31,0.69,,,
SAT24,2022-03-26,21:00:00,Spanish Division 2 [SF2],UD Ibiza,Real Sociedad B,False,10.50,2.45,1.48,0.37,0.63,,,
SAT53,2022-03-27,01:00:00,Spanish Division 2 [SF2],Gijon,Cartagena,False,10.50,2.82,1.37,0.27,0.73,,,
SAT65,2022-03-27,04:30:00,Spanish Division 2 [SF2],Oviedo,Fuenlabrada,False,10.50,2.45,1.48,0.36,0.64,,,
SUN3,2022-03-27,20:00:00,Spanish Division 2 [SF2],Mirandes,Ponferradina,False,10.50,2.75,1.39,0.28,0.72,,,
SUN7,2022-03-27,22:00:00,Spanish Division 2 [SF2],Burgos,Tenerife,True,8.50,1.88,1.82,0.53,0.47,,,
SUN11,2022-03-28,00:15:00,Spanish Division 2 [SF2],Malaga,Huesca,False,12.50,4.55,1.15,0.15,0.85,,,
FRI33,2022-03-26,04:00:00,Spanish Division 2 [SF2],Zaragoza,Amorebieta,False,12.50,4.70,1.14,0.20,0.80,,,
SAT24,2022-03-26,21:00:00,Spanish Division 2 [SF2],UD Ibiza,Real Sociedad B,True,9.50,1.93,1.77,0.48,0.52,,,
SAT53,2022-03-27,01:00:00,Spanish Division 2 [SF2],Gijon,Cartagena,True,9.50,2.20,1.59,0.38,0.62,,,
SAT65,2022-03-27,04:30:00,Spanish Division 2 [SF2],Oviedo,Fuenlabrada,True,9.50,1.92,1.78,0.47,0.53,,,
SUN3,2022-03-27,20:00:00,Spanish Division 2 [SF2],Mirandes,Ponferradina,True,9.50,2.15,1.62,0.39,0.61,,,
SUN7,2022-03-27,22:00:00,Spanish Division 2 [SF2],Burgos,Tenerife,False,11.50,4.15,1.18,0.21,0.79,,,
SUN11,2022-03-28,00:15:00,Spanish Division 2 [SF2],Malaga,Huesca,True,9.50,2.05,1.68,0.42,0.58,,,
