MatchDay,Date,Time,LeagueJC,HomeTeamJC,AwayTeamJC,MAINLINE,CHL_LINE,CHL_H,CHL_L,prob_hi,prob_lo,kelly,bet,selected
SUN30,2021-11-21,22:00:00,Eng Premier [EPL],Manchester City,Everton,False,14.50,4.40,1.16,0.08,0.92,0.45,Low,
SUN30,2021-11-21,22:00:00,Eng Premier [EPL],Manchester City,Everton,False,12.50,2.75,1.39,0.18,0.82,0.36,Low,
SUN30,2021-11-21,22:00:00,Eng Premier [EPL],Manchester City,Everton,True,11.50,2.15,1.62,0.26,0.74,0.32,Low,$$$
SUN58,2021-11-22,01:30:00,Spanish Division 1 [SFL],CF Elche,Betis,True,8.50,1.78,1.92,0.66,0.34,0.23,High,$$
SUN58,2021-11-22,01:30:00,Spanish Division 1 [SFL],CF Elche,Betis,False,9.50,2.29,1.55,0.55,0.45,0.20,High,
SUN19,2021-11-21,20:00:00,French Division 1 [FFL],Brest,Lens,True,9.50,1.82,1.88,0.62,0.38,0.16,High,$
SUN65,2021-11-22,03:45:00,French Division 1 [FFL],Lyon,Marseille,True,9.50,1.80,1.90,0.62,0.38,0.15,High,$
SUN19,2021-11-21,20:00:00,French Division 1 [FFL],Brest,Lens,False,10.50,2.30,1.54,0.51,0.49,0.14,High,
SUN65,2021-11-22,03:45:00,French Division 1 [FFL],Lyon,Marseille,False,10.50,2.25,1.57,0.52,0.48,0.13,High,
SUN22,2021-11-21,20:30:00,German Division 2 [GD2],Heidenheim,Holstein Kiel,True,10.50,1.95,1.75,0.57,0.43,0.12,High,$
SUN64,2021-11-22,03:45:00,Italian Division 1 [ISA],Genoa,Roma,True,10.50,2.20,1.59,0.33,0.67,0.11,Low,$
SUN41,2021-11-21,23:15:00,Spanish Division 1 [SFL],CF Granada,Real Madrid,True,9.50,1.92,1.78,0.40,0.60,0.09,Low,
SUN64,2021-11-22,03:45:00,Italian Division 1 [ISA],Genoa,Roma,False,11.50,2.88,1.36,0.24,0.76,0.08,Low,
SUN25,2021-11-21,21:00:00,Spanish Division 1 [SFL],Getafe,Cadiz,True,8.50,1.85,1.85,0.58,0.42,0.08,High,
SUN41,2021-11-21,23:15:00,Spanish Division 1 [SFL],CF Granada,Real Madrid,False,10.50,2.48,1.47,0.29,0.71,0.08,Low,
SUN22,2021-11-21,20:30:00,German Division 2 [GD2],Heidenheim,Holstein Kiel,False,11.50,2.40,1.50,0.46,0.54,0.08,High,
SUN25,2021-11-21,21:00:00,Spanish Division 1 [SFL],Getafe,Cadiz,False,9.50,2.40,1.50,0.46,0.54,0.07,High,
SUN34,2021-11-21,22:00:00,French Division 1 [FFL],Metz,Bordeaux,True,9.50,1.82,1.88,0.58,0.42,0.07,High,
SUN32,2021-11-21,22:00:00,Italian Division 1 [ISA],Bologna,Venezia,True,9.50,1.87,1.83,0.57,0.43,0.07,High,
