MatchDay,Date,Time,LeagueJC,HomeTeamJC,AwayTeamJC,MAINLINE,CHL_LINE,CHL_H,CHL_L,prob_hi,prob_lo,kelly,bet,selected
SAT33,2022-05-14,21:30:00,German Division 1 [GSL],Dortmund,Hertha Berlin,False,13.50,4.55,1.15,0.06,0.94,0.52,Low,
SAT33,2022-05-14,21:30:00,German Division 1 [GSL],Dortmund,Hertha Berlin,False,11.50,2.68,1.41,0.16,0.84,0.45,Low,
SAT33,2022-05-14,21:30:00,German Division 1 [GSL],Dortmund,Hertha Berlin,True,10.50,2.13,1.63,0.24,0.76,0.39,Low,$$$
SUN60,2022-05-15,23:30:00,Eng Premier [EPL],Everton,Brentford,False,13.50,4.15,1.18,0.10,0.90,0.37,Low,
FRI7,2022-05-14,02:45:00,Eng Championship [ED1],Luton,Huddersfield,True,9.50,2.00,1.72,0.68,0.32,0.35,High,$$$
SUN50,2022-05-15,21:30:00,German Division 2 [GD2],St. Pauli,Dusseldorf,False,14.50,5.55,1.10,0.06,0.94,0.33,Low,
SUN50,2022-05-15,21:30:00,German Division 2 [GD2],St. Pauli,Dusseldorf,False,11.50,2.45,1.48,0.22,0.78,0.32,Low,
SUN60,2022-05-15,23:30:00,Eng Premier [EPL],Everton,Brentford,False,11.50,2.55,1.45,0.22,0.78,0.30,Low,
FRI7,2022-05-14,02:45:00,Eng Championship [ED1],Luton,Huddersfield,False,10.50,2.60,1.43,0.57,0.43,0.30,High,
SUN60,2022-05-15,23:30:00,Eng Premier [EPL],Everton,Brentford,True,10.50,2.00,1.72,0.31,0.69,0.27,Low,$$
SUN50,2022-05-15,21:30:00,German Division 2 [GD2],St. Pauli,Dusseldorf,True,10.50,2.00,1.72,0.31,0.69,0.26,Low,$$
SUN44,2022-05-15,21:30:00,German Division 2 [GD2],Dresden,Aue,False,13.50,4.90,1.13,0.09,0.91,0.24,Low,
SAT37,2022-05-14,21:30:00,German Division 1 [GSL],Union Berlin,Bochum,False,13.50,4.90,1.13,0.09,0.91,0.23,Low,
SUN49,2022-05-15,21:30:00,German Division 2 [GD2],Sandhausen,Holstein Kiel,True,10.50,2.10,1.65,0.59,0.41,0.23,High,$$
SUN44,2022-05-15,21:30:00,German Division 2 [GD2],Dresden,Aue,False,10.50,2.20,1.59,0.29,0.71,0.21,Low,
MON10,2022-05-17,00:30:00,Italian Division 1 [ISA],Sampdoria,Fiorentina,True,9.50,2.00,1.72,0.61,0.39,0.21,High,$$
SUN33,2022-05-15,21:00:00,Eng Premier [EPL],West Ham,Manchester City,False,14.50,4.75,1.14,0.10,0.90,0.20,Low,
SUN72,2022-05-16,01:30:00,Spanish Division 1 [SFL],Levante,Alaves,True,9.50,2.10,1.65,0.58,0.42,0.20,High,$
SUN48,2022-05-15,21:30:00,German Division 2 [GD2],Rostock,Hamburg,False,11.50,2.40,1.50,0.27,0.73,0.19,Low,
SUN10,2022-05-15,18:30:00,Italian Division 1 [ISA],Bologna,Sassuolo,True,9.50,1.80,1.90,0.63,0.37,0.18,High,$
SAT37,2022-05-14,21:30:00,German Division 1 [GSL],Union Berlin,Bochum,False,10.50,2.29,1.55,0.29,0.71,0.17,Low,
SUN44,2022-05-15,21:30:00,German Division 2 [GD2],Dresden,Aue,True,9.50,1.77,1.93,0.40,0.60,0.17,Low,$
SUN48,2022-05-15,21:30:00,German Division 2 [GD2],Rostock,Hamburg,False,14.50,5.30,1.11,0.08,0.92,0.17,Low,
FRI7,2022-05-14,02:45:00,Eng Championship [ED1],Luton,Huddersfield,False,12.50,4.40,1.16,0.35,0.65,0.16,High,
SUN49,2022-05-15,21:30:00,German Division 2 [GD2],Sandhausen,Holstein Kiel,False,11.50,2.60,1.43,0.49,0.51,0.16,High,
SUN45,2022-05-15,21:30:00,German Division 2 [GD2],Hannover,Ingolstadt,False,10.50,2.15,1.62,0.32,0.68,0.16,Low,
MON10,2022-05-17,00:30:00,Italian Division 1 [ISA],Sampdoria,Fiorentina,False,10.50,2.50,1.46,0.49,0.51,0.15,High,
SUN45,2022-05-15,21:30:00,German Division 2 [GD2],Hannover,Ingolstadt,False,13.50,4.75,1.14,0.10,0.90,0.15,Low,
SUN72,2022-05-16,01:30:00,Spanish Division 1 [SFL],Levante,Alaves,False,10.50,2.70,1.40,0.47,0.53,0.15,High,
SUN48,2022-05-15,21:30:00,German Division 2 [GD2],Rostock,Hamburg,True,10.50,1.95,1.75,0.37,0.63,0.14,Low,$
SUN35,2022-05-15,21:00:00,Eng Premier [EPL],Leeds,Brighton,True,10.50,1.95,1.75,0.58,0.42,0.14,High,$
SAT72,2022-05-15,02:45:00,Italian Division 1 [ISA],Roma,Venezia,True,9.50,1.75,1.95,0.63,0.37,0.14,High,$
SUN33,2022-05-15,21:00:00,Eng Premier [EPL],West Ham,Manchester City,False,11.50,2.29,1.55,0.31,0.69,0.14,Low,
SUN10,2022-05-15,18:30:00,Italian Division 1 [ISA],Bologna,Sassuolo,False,10.50,2.22,1.58,0.52,0.48,0.13,High,
SAT72,2022-05-15,02:45:00,Italian Division 1 [ISA],Roma,Venezia,False,10.50,2.19,1.60,0.52,0.48,0.12,High,
SUN70,2022-05-16,01:30:00,Spanish Division 1 [SFL],Betis,CF Granada,True,9.50,1.93,1.77,0.58,0.42,0.12,High,$
SUN34,2022-05-15,21:00:00,Eng Premier [EPL],Aston Villa,Crystal Palace,True,10.50,1.93,1.77,0.58,0.42,0.12,High,$
SUN33,2022-05-15,21:00:00,Eng Premier [EPL],West Ham,Manchester City,True,10.50,1.83,1.87,0.41,0.59,0.12,Low,$
SUN46,2022-05-15,21:30:00,German Division 2 [GD2],Heidenheim,Karlsruher,True,10.50,1.90,1.80,0.58,0.42,0.11,High,$
SUN45,2022-05-15,21:30:00,German Division 2 [GD2],Hannover,Ingolstadt,True,9.50,1.75,1.95,0.43,0.57,0.11,Low,$
SAT37,2022-05-14,21:30:00,German Division 1 [GSL],Union Berlin,Bochum,True,9.50,1.88,1.82,0.40,0.60,0.11,Low,$
SUN35,2022-05-15,21:00:00,Eng Premier [EPL],Leeds,Brighton,False,11.50,2.45,1.48,0.47,0.53,0.11,High,
