MatchDay,Date,Time,LeagueJC,HomeTeamJC,AwayTeamJC,MAINLINE,CHL_LINE,CHL_H,CHL_L,prob_hi,prob_lo,kelly,bet,selected
SAT18,2021-10-16,21:00:00,Italian Division 1 [ISA],Spezia,Salernitana,False,12.50,4.05,1.19,0.08,0.92,0.51,Low,
SAT18,2021-10-16,21:00:00,Italian Division 1 [ISA],Spezia,Salernitana,False,10.50,2.40,1.50,0.20,0.80,0.41,Low,
SAT18,2021-10-16,21:00:00,Italian Division 1 [ISA],Spezia,Salernitana,True,9.50,1.88,1.82,0.29,0.71,0.36,Low,$$$
SAT22,2021-10-16,21:30:00,German Division 1 [GSL],Dortmund,Mainz,False,13.50,5.10,1.12,0.07,0.93,0.36,Low,
SAT14,2021-10-16,19:30:00,Eng Championship [ED1],Fulham,QPR,False,14.50,4.75,1.14,0.08,0.92,0.35,Low,
SAT29,2021-10-16,22:00:00,Eng Premier [EPL],Manchester City,Burnley,True,11.50,1.90,1.80,0.68,0.32,0.33,High,$$$
SAT71,2021-10-17,00:30:00,Spanish Division 1 [SFL],Levante,Getafe,False,12.50,5.55,1.10,0.06,0.94,0.32,Low,
SAT29,2021-10-16,22:00:00,Eng Premier [EPL],Manchester City,Burnley,False,12.50,2.35,1.52,0.60,0.40,0.30,High,
SAT16,2021-10-16,19:30:00,German Division 2 [GD2],Ingolstadt,Holstein Kiel,True,9.50,1.80,1.90,0.69,0.31,0.29,High,$$
SAT22,2021-10-16,21:30:00,German Division 1 [GSL],Dortmund,Mainz,False,10.50,2.29,1.55,0.25,0.75,0.28,Low,
SAT72,2021-10-17,00:30:00,German Division 1 [GSL],Monchengladbach,Stuttgart,False,13.50,4.90,1.13,0.08,0.92,0.28,Low,
SAT32,2021-10-16,22:00:00,Eng Premier [EPL],Norwich,Brighton,False,14.50,4.55,1.15,0.10,0.90,0.26,Low,
SAT14,2021-10-16,19:30:00,Eng Championship [ED1],Fulham,QPR,False,11.50,2.25,1.57,0.27,0.73,0.25,Low,
SAT71,2021-10-17,00:30:00,Spanish Division 1 [SFL],Levante,Getafe,False,9.50,2.45,1.48,0.24,0.76,0.25,Low,
SAT16,2021-10-16,19:30:00,German Division 2 [GD2],Ingolstadt,Holstein Kiel,False,10.50,2.25,1.57,0.58,0.42,0.24,High,
SAT22,2021-10-16,21:30:00,German Division 1 [GSL],Dortmund,Mainz,True,9.50,1.82,1.88,0.36,0.64,0.24,Low,$$
SAT72,2021-10-17,00:30:00,German Division 1 [GSL],Monchengladbach,Stuttgart,False,10.50,2.20,1.59,0.28,0.72,0.23,Low,
SAT71,2021-10-17,00:30:00,Spanish Division 1 [SFL],Levante,Getafe,True,8.50,1.88,1.82,0.35,0.65,0.23,Low,$$
SAT32,2021-10-16,22:00:00,Eng Premier [EPL],Norwich,Brighton,False,12.50,2.75,1.39,0.22,0.78,0.23,Low,
SAT14,2021-10-16,19:30:00,Eng Championship [ED1],Fulham,QPR,True,10.50,1.80,1.90,0.37,0.63,0.22,Low,$$
SAT61,2021-10-16,23:00:00,French Division 1 [FFL],Clermont,Lille,False,10.50,2.55,1.45,0.24,0.76,0.21,Low,
SAT32,2021-10-16,22:00:00,Eng Premier [EPL],Norwich,Brighton,True,11.50,2.15,1.62,0.30,0.70,0.20,Low,$$
SAT72,2021-10-17,00:30:00,German Division 1 [GSL],Monchengladbach,Stuttgart,True,9.50,1.75,1.95,0.39,0.61,0.20,Low,$
SAT61,2021-10-16,23:00:00,French Division 1 [FFL],Clermont,Lille,False,12.50,4.55,1.15,0.11,0.89,0.19,Low,
SAT29,2021-10-16,22:00:00,Eng Premier [EPL],Manchester City,Burnley,False,15.50,4.90,1.13,0.35,0.65,0.18,High,
SAT61,2021-10-16,23:00:00,French Division 1 [FFL],Clermont,Lille,True,9.50,2.00,1.72,0.35,0.65,0.17,Low,$
SUN20,2021-10-17,19:30:00,German Division 2 [GD2],Dresden,Nurnberg,False,13.50,5.10,1.12,0.09,0.91,0.17,Low,
SAT64,2021-10-17,00:00:00,Italian Division 1 [ISA],Lazio,Inter Milan,True,9.50,1.88,1.82,0.60,0.40,0.16,High,$
SUN20,2021-10-17,19:30:00,German Division 2 [GD2],Dresden,Nurnberg,False,10.50,2.30,1.54,0.30,0.70,0.15,Low,
SAT28,2021-10-16,22:00:00,Eng Premier [EPL],Leicester,Manchester Utd,False,14.50,4.55,1.15,0.11,0.89,0.14,Low,
SUN22,2021-10-17,20:00:00,Spanish Division 1 [SFL],Vallecano,CF Elche,True,8.50,1.78,1.92,0.62,0.38,0.13,High,$
SAT64,2021-10-17,00:00:00,Italian Division 1 [ISA],Lazio,Inter Milan,False,10.50,2.40,1.50,0.49,0.51,0.13,High,
