MatchDay,Date,Time,LeagueJC,HomeTeamJC,AwayTeamJC,MAINLINE,CHL_LINE,CHL_H,CHL_L,prob_hi,prob_lo,kelly,bet,selected
THU9,2022-03-11,03:30:00,Eng Premier [EPL],Norwich,Chelsea,False,11.50,2.48,1.47,0.39,0.61,,,
THU10,2022-03-11,03:30:00,Eng Premier [EPL],Southampton,Newcastle,False,11.50,2.55,1.45,0.36,0.64,,,
THU11,2022-03-11,03:30:00,Eng Premier [EPL],Wolves,Watford,False,13.50,4.05,1.19,0.21,0.79,,,
THU12,2022-03-11,03:45:00,Eng Premier [EPL],Leeds,Aston Villa,True,10.50,1.85,1.85,0.52,0.48,,,
THU9,2022-03-11,03:30:00,Eng Premier [EPL],Norwich,Chelsea,True,10.50,1.95,1.75,0.50,0.50,,,
THU10,2022-03-11,03:30:00,Eng Premier [EPL],Southampton,Newcastle,False,13.50,4.15,1.18,0.19,0.81,,,
THU11,2022-03-11,03:30:00,Eng Premier [EPL],Wolves,Watford,True,10.50,1.95,1.75,0.50,0.50,,,
THU12,2022-03-11,03:45:00,Eng Premier [EPL],Leeds,Aston Villa,False,11.50,2.33,1.53,0.41,0.59,,,
THU9,2022-03-11,03:30:00,Eng Premier [EPL],Norwich,Chelsea,False,13.50,4.05,1.19,0.21,0.79,,,
THU10,2022-03-11,03:30:00,Eng Premier [EPL],Southampton,Newcastle,True,10.50,2.00,1.72,0.47,0.53,,,
THU11,2022-03-11,03:30:00,Eng Premier [EPL],Wolves,Watford,False,11.50,2.48,1.47,0.39,0.61,,,
THU12,2022-03-11,03:45:00,Eng Premier [EPL],Leeds,Aston Villa,False,14.50,4.90,1.13,0.16,0.84,,,
