MatchDay,Date,Time,LeagueJC,HomeTeamJC,AwayTeamJC,MAINLINE,CHL_LINE,CHL_H,CHL_L,prob_hi,prob_lo,kelly,bet,selected
SUNFB1629,2023-05-21,23:30:00,German Division 1 [GSL],Augsburg,Dortmund,True,10.50,1.88,1.82,0.29,0.71,0.36,Low,$$$
TUEFB1748,2023-05-23,00:30:00,Italian Division 1 [ISA],Roma,Salernitana,True,9.50,1.81,1.89,0.65,0.35,0.23,High,$$
SATFB1632,2023-05-20,21:30:00,German Division 1 [GSL],Schalke 04,Frankfurt,True,10.50,1.88,1.82,0.36,0.64,0.21,Low,$$
SATFB1661,2023-05-20,19:00:00,German Division 2 [GD2],Heidenheim,Sandhausen,True,10.50,1.97,1.74,0.60,0.40,0.19,High,$
SATFB1607,2023-05-20,22:00:00,Eng Premier [EPL],Wolves,Everton,True,10.50,1.90,1.80,0.36,0.64,0.19,Low,$
SATFB1686,2023-05-20,21:00:00,Italian Division 1 [ISA],Cremonese,Bologna,True,9.50,2.05,1.68,0.58,0.42,0.18,High,$
SUNFB1671,2023-05-21,19:00:00,French Division 1 [FFL],AC Ajaccio,Rennes,True,8.50,1.74,1.97,0.40,0.60,0.18,Low,$
SUNFB1665,2023-05-21,02:30:00,German Division 2 [GD2],Hamburg,Greuther Furth,True,10.50,2.12,1.64,0.55,0.45,0.15,High,$
SATFB1611,2023-05-20,19:30:00,Eng Premier [EPL],Tottenham,Brentford,True,10.50,1.93,1.77,0.37,0.63,0.15,Low,$
SUNFB1663,2023-05-21,19:30:00,German Division 2 [GD2],Dusseldorf,Hannover,True,10.50,1.93,1.77,0.37,0.63,0.14,Low,$
SUNFB1689,2023-05-21,00:30:00,Spanish Division 1 [SFL],Almeria,Mallorca,True,8.50,1.85,1.85,0.61,0.39,0.14,High,$
SUNFB1685,2023-05-21,02:45:00,Italian Division 1 [ISA],AC Milan,Sampdoria,True,10.50,2.07,1.67,0.55,0.45,0.12,High,$
MONFB1696,2023-05-22,00:30:00,Spanish Division 1 [SFL],Valencia,Real Madrid,True,10.50,2.04,1.69,0.36,0.64,0.12,Low,$
