MatchDay,Date,Time,LeagueJC,HomeTeamJC,AwayTeamJC,MAINLINE,CHL_LINE,CHL_H,CHL_L,prob_hi,prob_lo,kelly,bet,selected
TUEFB7261,2023-02-14,03:45:00,Italian Division 1 [ISA],Sampdoria,Inter Milan,True,9.50,2.12,1.64,0.62,0.38,0.28,High,$$
SUNFB7239,2023-02-12,01:30:00,German Division 1 [GSL],RB Leipzig,Union Berlin,True,8.50,1.72,2.00,0.39,0.61,0.22,Low,$$
SUNFB7246,2023-02-12,20:30:00,German Division 2 [GD2],Darmstadt,Braunschweig,True,9.50,1.68,2.05,0.41,0.59,0.20,Low,$$
SUNFB7284,2023-02-12,20:30:00,German Division 2 [GD2],St. Pauli,Kaiserslautern,True,9.50,1.75,1.95,0.40,0.60,0.18,Low,$
SUNFB7245,2023-02-12,03:30:00,German Division 2 [GD2],Heidenheim,Hamburg,True,9.50,1.73,1.98,0.65,0.35,0.18,High,$
SATFB7244,2023-02-11,20:00:00,German Division 2 [GD2],Nurnberg,Jahn Regensburg,True,9.50,1.83,1.87,0.62,0.38,0.16,High,$
SATFB7198,2023-02-11,03:45:00,Italian Division 1 [ISA],AC Milan,AC Torino,True,9.50,2.00,1.72,0.58,0.42,0.16,High,$
SUNFB7265,2023-02-12,04:00:00,Spanish Division 1 [SFL],Valencia,Bilbao,True,9.50,1.81,1.89,0.40,0.60,0.15,Low,$
SATFB7191,2023-02-11,03:30:00,German Division 1 [GSL],Schalke 04,Wolfsburg,True,9.50,1.73,1.98,0.43,0.57,0.14,Low,$
MONFB7235,2023-02-13,00:30:00,German Division 1 [GSL],Cologne,Frankfurt,True,9.50,1.81,1.89,0.61,0.39,0.13,High,$
SUNFB7258,2023-02-12,22:00:00,Italian Division 1 [ISA],Bologna,Monza,True,9.50,2.15,1.62,0.54,0.46,0.13,High,$
SUNFB7259,2023-02-12,01:00:00,Italian Division 1 [ISA],Lecce,Roma,True,9.50,2.13,1.63,0.54,0.46,0.13,High,$
MONFB7253,2023-02-13,04:00:00,Spanish Division 1 [SFL],Villarreal,Barcelona,True,9.50,1.83,1.87,0.41,0.59,0.12,Low,$
SATFB7242,2023-02-11,20:00:00,German Division 2 [GD2],Holstein Kiel,Magdeburg,True,10.50,1.87,1.83,0.40,0.60,0.12,Low,$
SUNFB7256,2023-02-12,19:30:00,Italian Division 1 [ISA],Udinese,Sassuolo,True,9.50,1.86,1.84,0.58,0.42,0.10,High,$
SUNFB7272,2023-02-12,22:00:00,French Division 1 [FFL],Angers SCO,Auxerre,True,8.50,1.62,2.15,0.48,0.52,0.10,Low,
SATFB7218,2023-02-11,23:00:00,Eng Premier [EPL],Fulham,Nottingham Forest,True,10.50,2.17,1.61,0.51,0.49,0.09,High,
SATFB7266,2023-02-11,23:15:00,Spanish Division 1 [SFL],Almeria,Betis,True,9.50,1.98,1.73,0.55,0.45,0.08,High,
SATFB7219,2023-02-11,23:00:00,Eng Premier [EPL],Crystal Palace,Brighton,True,9.50,1.83,1.87,0.58,0.42,0.08,High,
SATFB7237,2023-02-11,22:30:00,German Division 1 [GSL],Hoffenheim,Leverkusen,True,8.50,1.68,2.05,0.62,0.38,0.07,High,
SUNFB7223,2023-02-12,01:30:00,Eng Premier [EPL],Bournemouth,Newcastle,True,10.50,2.20,1.59,0.49,0.51,0.06,High,
SATFB7199,2023-02-11,04:00:00,Spanish Division 1 [SFL],Cadiz,Girona,True,8.50,1.91,1.79,0.41,0.59,0.06,Low,
SUNFB7275,2023-02-12,22:00:00,French Division 1 [FFL],Lille,Strasbourg,True,8.50,1.68,2.05,0.62,0.38,0.06,High,
MONFB7254,2023-02-13,01:00:00,Italian Division 1 [ISA],Juventus,Fiorentina,True,9.50,2.00,1.72,0.53,0.47,0.06,High,
SUNFB7263,2023-02-12,21:00:00,Spanish Division 1 [SFL],Getafe,Vallecano,True,8.50,1.69,2.04,0.48,0.52,0.06,Low,
SATFB7193,2023-02-11,01:30:00,German Division 2 [GD2],Bielefeld,Rostock,True,9.50,1.85,1.85,0.44,0.56,0.05,Low,
