MatchDay,Date,Time,LeagueJC,HomeTeamJC,AwayTeamJC,MAINLINE,CHL_LINE,CHL_H,CHL_L,prob_hi,prob_lo,kelly,bet,selected
MONFB8535,2023-03-13,01:00:00,Italian Division 1 [ISA],Roma,Sassuolo,True,9.50,2.05,1.68,0.63,0.37,0.28,High,$$
SUNFB8417,2023-03-12,01:30:00,German Division 1 [GSL],Schalke 04,Dortmund,True,10.50,1.95,1.75,0.31,0.69,0.28,Low,$$
SUNFB8435,2023-03-12,19:30:00,Italian Division 1 [ISA],Lecce,AC Torino,True,9.50,2.04,1.69,0.63,0.37,0.27,High,$$
SUNFB8482,2023-03-12,20:00:00,French Division 1 [FFL],Clermont,Lens,True,8.50,1.74,1.97,0.69,0.31,0.27,High,$$
MONFB8534,2023-03-13,03:45:00,Italian Division 1 [ISA],Juventus,Sampdoria,True,9.50,1.90,1.80,0.65,0.35,0.26,High,$$
SATFB8391,2023-03-11,04:00:00,Spanish Division 1 [SFL],Cadiz,Getafe,True,8.50,1.85,1.85,0.34,0.66,0.26,Low,$$
MONFB8486,2023-03-13,00:05:00,French Division 1 [FFL],Monaco,Reims,True,8.50,1.65,2.10,0.68,0.32,0.19,High,$
TUEFB8437,2023-03-14,03:45:00,Italian Division 1 [ISA],AC Milan,Salernitana,True,9.50,1.97,1.74,0.59,0.41,0.18,High,$
SUNFB8465,2023-03-12,01:30:00,Spanish Division 1 [SFL],Celta Vigo,Vallecano,True,9.50,1.89,1.81,0.37,0.63,0.16,Low,$
SUNFB8493,2023-03-12,22:00:00,Eng Premier [EPL],West Ham,Aston Villa,True,9.50,1.85,1.85,0.61,0.39,0.15,High,$
SATFB8419,2023-03-11,22:30:00,German Division 1 [GSL],Hertha Berlin,Mainz,True,8.50,1.66,2.08,0.65,0.35,0.13,High,$
SATFB8386,2023-03-11,01:30:00,German Division 2 [GD2],Kaiserslautern,Sandhausen,True,9.50,1.98,1.73,0.57,0.43,0.12,High,$
SUNFB8533,2023-03-12,22:00:00,Italian Division 1 [ISA],Cremonese,Fiorentina,True,9.50,2.01,1.71,0.55,0.45,0.11,High,$
SUNFB8621,2023-03-12,22:00:00,French Division 1 [FFL],Nantes,Nice,True,8.50,1.57,2.25,0.67,0.33,0.10,High,$
SATFB8416,2023-03-11,22:30:00,German Division 1 [GSL],Bayern Munich,Augsburg,True,9.50,1.64,2.12,0.47,0.53,0.10,Low,$
SATFB8433,2023-03-11,22:00:00,Italian Division 1 [ISA],Empoli,Udinese,True,10.50,2.10,1.65,0.53,0.47,0.10,High,$
SUNFB8487,2023-03-12,20:30:00,German Division 2 [GD2],Hannover,Rostock,True,9.50,1.73,1.98,0.45,0.55,0.10,Low,
SATFB8464,2023-03-11,21:00:00,Spanish Division 1 [SFL],Real Madrid,Espanyol,True,9.50,1.75,1.95,0.61,0.39,0.10,High,
SUNFB8481,2023-03-12,22:00:00,French Division 1 [FFL],AC Ajaccio,Montpellier,True,8.50,1.76,1.94,0.45,0.55,0.07,Low,
SATFB8418,2023-03-11,22:30:00,German Division 1 [GSL],RB Leipzig,Monchengladbach,True,8.50,1.78,1.92,0.45,0.55,0.07,Low,
SATFB8415,2023-03-11,22:30:00,German Division 1 [GSL],Frankfurt,Stuttgart,True,9.50,1.85,1.85,0.44,0.56,0.04,Low,
SUNFB8436,2023-03-12,01:00:00,Italian Division 1 [ISA],Napoli,Atalanta,True,9.50,1.97,1.74,0.41,0.59,0.03,Low,
MONFB8480,2023-03-13,03:45:00,French Division 1 [FFL],Marseille,Strasbourg,True,8.50,1.54,2.30,0.66,0.34,0.03,High,
SUNFB8483,2023-03-12,22:00:00,French Division 1 [FFL],Angers SCO,Toulouse,True,8.50,1.54,2.30,0.55,0.45,0.03,Low,
SATFB8429,2023-03-11,20:00:00,German Division 2 [GD2],Bielefeld,Darmstadt,True,9.50,1.79,1.91,0.47,0.53,0.02,Low,
MONFB8410,2023-03-13,00:30:00,Eng Premier [EPL],Newcastle,Wolves,True,10.50,2.13,1.63,0.38,0.62,0.02,Low,
SUNFB8406,2023-03-12,01:30:00,Eng Premier [EPL],Crystal Palace,Manchester City,True,9.50,1.82,1.88,0.46,0.54,0.01,Low,
SUNFB8485,2023-03-12,04:00:00,French Division 1 [FFL],Brest,Paris Saint Germain,True,10.50,2.30,1.54,0.44,0.56,0.01,High,
SUNFB8609,2023-03-12,22:30:00,German Division 1 [GSL],Freiburg,Hoffenheim,True,8.50,1.62,2.15,0.62,0.38,0.01,High,
SATFB8383,2023-03-11,03:30:00,German Division 1 [GSL],Cologne,Bochum,True,9.50,1.92,1.78,0.52,0.48,0.00,High,
SUNFB8498,2023-03-12,23:15:00,Spanish Division 1 [SFL],Sevilla,Almeria,True,9.50,1.85,1.85,0.46,0.54,0.00,Low,
SATFB8385,2023-03-11,01:30:00,German Division 2 [GD2],Nurnberg,Braunschweig,True,9.50,1.84,1.86,0.54,0.46,,,
SATFB8430,2023-03-11,20:00:00,German Division 2 [GD2],Magdeburg,Paderborn,True,9.50,1.79,1.91,0.55,0.45,,,
SATFB8428,2023-03-11,20:00:00,German Division 2 [GD2],St. Pauli,Greuther Furth,True,9.50,1.90,1.80,0.50,0.50,,,
SUNFB8427,2023-03-12,03:30:00,German Division 2 [GD2],Dusseldorf,Heidenheim,True,9.50,1.83,1.87,0.49,0.51,,,
SUNFB8488,2023-03-12,20:30:00,German Division 2 [GD2],Karlsruher,Hamburg,True,10.50,2.08,1.66,0.46,0.54,,,
SUNFB8431,2023-03-12,20:30:00,German Division 2 [GD2],Holstein Kiel,Jahn Regensburg,True,10.50,2.10,1.65,0.44,0.56,,,
MONFB8522,2023-03-13,00:30:00,German Division 1 [GSL],Werder Bremen,Leverkusen,True,8.50,1.84,1.86,0.51,0.49,,,
MONFB8523,2023-03-13,02:30:00,German Division 1 [GSL],Wolfsburg,Union Berlin,True,9.50,1.95,1.75,0.44,0.56,,,
SATFB8389,2023-03-11,03:45:00,Italian Division 1 [ISA],Spezia,Inter Milan,True,10.50,2.22,1.58,0.41,0.59,,,
SUNFB8432,2023-03-12,03:45:00,Italian Division 1 [ISA],Bologna,Lazio,True,9.50,2.17,1.61,0.43,0.57,,,
SUNFB8434,2023-03-12,22:00:00,Italian Division 1 [ISA],Verona,Monza,True,9.50,2.01,1.71,0.48,0.52,,,
SATFB8466,2023-03-11,23:15:00,Spanish Division 1 [SFL],CF Elche,Valladolid,True,9.50,1.75,1.95,0.56,0.44,,,
SUNFB8468,2023-03-12,04:00:00,Spanish Division 1 [SFL],Valencia,Osasuna,True,9.50,1.73,1.98,0.54,0.46,,,
SUNFB8497,2023-03-12,21:00:00,Spanish Division 1 [SFL],Mallorca,Real Sociedad,True,8.50,1.91,1.79,0.49,0.51,,,
MONFB8496,2023-03-13,01:30:00,Spanish Division 1 [SFL],Villarreal,Betis,True,9.50,1.85,1.85,0.48,0.52,,,
MONFB8467,2023-03-13,04:00:00,Spanish Division 1 [SFL],Bilbao,Barcelona,True,8.50,1.71,2.01,0.58,0.42,,,
TUEFB8469,2023-03-14,04:00:00,Spanish Division 1 [SFL],Girona,Atletico Madrid,True,8.50,1.85,1.85,0.53,0.47,,,
SATFB8396,2023-03-11,04:00:00,French Division 1 [FFL],Lille,Lyon,True,8.50,1.62,2.15,0.57,0.43,,,
SUNFB8484,2023-03-12,00:00:00,French Division 1 [FFL],Auxerre,Rennes,True,8.50,1.68,2.05,0.59,0.41,,,
SUNFB8479,2023-03-12,22:00:00,French Division 1 [FFL],Lorient,Troyes,True,8.50,1.65,2.10,0.59,0.41,,,
SATFB8407,2023-03-11,20:30:00,Eng Premier [EPL],Bournemouth,Liverpool,True,10.50,1.92,1.78,0.49,0.51,,,
SATFB8408,2023-03-11,23:00:00,Eng Premier [EPL],Tottenham,Nottingham Forest,True,10.50,1.97,1.74,0.48,0.52,,,
