MatchDay,Date,Time,LeagueJC,HomeTeamJC,AwayTeamJC,MAINLINE,CHL_LINE,CHL_H,CHL_L,prob_hi,prob_lo,kelly,bet,selected
SUN45,2021-11-07,22:00:00,French Division 1 [FFL],Reims,Monaco,False,13.50,5.30,1.11,0.05,0.95,0.54,Low,
SUN45,2021-11-07,22:00:00,French Division 1 [FFL],Reims,Monaco,False,10.50,2.30,1.54,0.17,0.83,0.52,Low,
SUN45,2021-11-07,22:00:00,French Division 1 [FFL],Reims,Monaco,True,9.50,1.85,1.85,0.24,0.76,0.48,Low,$$$
SUN67,2021-11-08,00:30:00,Eng Premier [EPL],West Ham,Liverpool,False,11.50,2.25,1.57,0.26,0.74,0.28,Low,
SUN51,2021-11-07,22:30:00,German Division 1 [GSL],Hertha Berlin,Leverkusen,False,13.50,4.90,1.13,0.08,0.92,0.27,Low,
SUN67,2021-11-08,00:30:00,Eng Premier [EPL],West Ham,Liverpool,True,10.50,1.80,1.90,0.35,0.65,0.26,Low,$$
SUN51,2021-11-07,22:30:00,German Division 1 [GSL],Hertha Berlin,Leverkusen,False,10.50,2.30,1.54,0.26,0.74,0.26,Low,
SUN67,2021-11-08,00:30:00,Eng Premier [EPL],West Ham,Liverpool,False,14.50,4.75,1.14,0.09,0.91,0.25,Low,
SUN51,2021-11-07,22:30:00,German Division 1 [GSL],Hertha Berlin,Leverkusen,True,9.50,1.83,1.87,0.35,0.65,0.24,Low,$$
SUN75,2021-11-08,01:30:00,Spanish Division 1 [SFL],Osasuna,Real Sociedad,False,9.50,2.45,1.48,0.25,0.75,0.24,Low,
SUN75,2021-11-08,01:30:00,Spanish Division 1 [SFL],Osasuna,Real Sociedad,True,8.50,1.88,1.82,0.35,0.65,0.23,Low,$$
SUN46,2021-11-07,22:00:00,French Division 1 [FFL],St. Etienne,Clermont,False,10.50,2.30,1.54,0.28,0.72,0.20,Low,
SUN43,2021-11-07,22:00:00,French Division 1 [FFL],Lorient,Brest,False,10.50,2.30,1.54,0.28,0.72,0.20,Low,
SUN88,2021-11-08,03:45:00,Italian Division 1 [ISA],AC Milan,Inter Milan,True,10.50,2.19,1.60,0.57,0.43,0.20,High,$$
SUN46,2021-11-07,22:00:00,French Division 1 [FFL],St. Etienne,Clermont,True,9.50,1.82,1.88,0.38,0.62,0.20,Low,$
SUN43,2021-11-07,22:00:00,French Division 1 [FFL],Lorient,Brest,False,13.50,5.10,1.12,0.09,0.91,0.19,Low,
SUN43,2021-11-07,22:00:00,French Division 1 [FFL],Lorient,Brest,True,9.50,1.82,1.88,0.38,0.62,0.19,Low,$
SUN25,2021-11-07,19:30:00,Italian Division 1 [ISA],Venezia,Roma,True,9.50,1.93,1.77,0.36,0.64,0.17,Low,$
SUN31,2021-11-07,20:30:00,German Division 2 [GD2],Schalke 04,Darmstadt,False,10.50,2.15,1.62,0.32,0.68,0.17,Low,
SUN88,2021-11-08,03:45:00,Italian Division 1 [ISA],AC Milan,Inter Milan,False,11.50,2.80,1.38,0.46,0.54,0.16,High,
SUN46,2021-11-07,22:00:00,French Division 1 [FFL],St. Etienne,Clermont,False,13.50,5.10,1.12,0.09,0.91,0.16,Low,
SUN75,2021-11-08,01:30:00,Spanish Division 1 [SFL],Osasuna,Real Sociedad,False,12.50,5.80,1.09,0.07,0.93,0.15,Low,
SUN25,2021-11-07,19:30:00,Italian Division 1 [ISA],Venezia,Roma,False,10.50,2.50,1.46,0.27,0.73,0.15,Low,
