MatchDay,Date,Time,LeagueJC,HomeTeamJC,AwayTeamJC,CHL_LINE,CHL_H,CHL_L,prob_hi,prob_lo,kelly_hi,kelly_lo,kelly,bet,*
SAT80,2021-09-19,00:30:00,Spanish Division 1 [SFL],CF Elche,Levante,8.5,1.88,1.82,0.54,0.46,0.01,-0.19,0.01,High,
SAT37,2021-09-18,22:00:00,Eng Premier [EPL],Liverpool,Crystal Palace,11.5,2.15,1.62,0.38,0.62,-0.16,0.01,0.01,Low,
FRI15,2021-09-18,02:30:00,German Division 1 [GSL],Hertha Berlin,Greuther Furth,9.5,1.93,1.77,0.52,0.48,0.01,-0.2,0.01,High,
SAT23,2021-09-18,19:30:00,German Division 2 [GD2],Dusseldorf,Jahn Regensburg,10.5,2.4,1.5,0.42,0.58,0,-0.25,0,High,
FRI16,2021-09-18,02:45:00,Italian Division 1 [ISA],Sassuolo,AC Torino,11.5,2.8,1.38,0.36,0.64,0,-0.3,0,High,
FRI19,2021-09-18,03:00:00,Spanish Division 1 [SFL],Celta Vigo,Cadiz,12.5,6.2,1.08,0.16,0.84,0,-1.18,0,High,
SAT23,2021-09-18,19:30:00,German Division 2 [GD2],Dusseldorf,Jahn Regensburg,9.5,1.9,1.8,0.53,0.47,0,-0.18,,,
SAT24,2021-09-18,19:30:00,German Division 2 [GD2],Holstein Kiel,Hannover,9.5,1.8,1.9,0.49,0.51,-0.15,-0.03,,,
SAT25,2021-09-18,19:30:00,German Division 2 [GD2],Sandhausen,Heidenheim,10.5,2.05,1.68,0.47,0.53,-0.04,-0.16,,,
SAT96,2021-09-19,02:30:00,German Division 2 [GD2],Werder Bremen,Hamburg,13.5,4.55,1.15,0.16,0.84,-0.07,-0.26,,,
FRI15,2021-09-18,02:30:00,German Division 1 [GSL],Hertha Berlin,Greuther Furth,12.5,4.05,1.19,0.23,0.77,-0.02,-0.47,,,
SAT34,2021-09-18,21:30:00,German Division 1 [GSL],Bielefeld,Hoffenheim,10.5,2.35,1.52,0.4,0.6,-0.04,-0.17,,,
SAT35,2021-09-18,21:30:00,German Division 1 [GSL],Mainz,Freiburg,10.5,2.65,1.42,0.32,0.68,-0.09,-0.1,,,
SAT81,2021-09-19,00:30:00,German Division 1 [GSL],Cologne,RB Leipzig,12.5,4.15,1.18,0.19,0.81,-0.06,-0.28,,,
SAT27,2021-09-18,21:00:00,Italian Division 1 [ISA],Genoa,Fiorentina,10.5,2.65,1.42,0.38,0.62,0,-0.27,,,
SAT73,2021-09-19,00:00:00,Italian Division 1 [ISA],Inter Milan,Bologna,13.5,4.05,1.19,0.21,0.79,-0.05,-0.33,,,
SAT98,2021-09-19,02:45:00,Italian Division 1 [ISA],Salernitana,Atalanta,13.5,5.3,1.11,0.14,0.86,-0.06,-0.38,,,
SUN8,2021-09-19,18:30:00,Italian Division 1 [ISA],Empoli,Sampdoria,11.5,2.4,1.5,0.37,0.63,-0.07,-0.12,,,
SUN56,2021-09-20,02:45:00,Italian Division 1 [ISA],Juventus,AC Milan,10.5,2,1.72,0.43,0.57,-0.14,-0.03,,,
FRI18,2021-09-18,03:00:00,Eng Premier [EPL],Newcastle,Leeds,10.5,1.85,1.85,0.47,0.53,-0.15,-0.03,,,
SAT37,2021-09-18,22:00:00,Eng Premier [EPL],Liverpool,Crystal Palace,12.5,2.75,1.39,0.29,0.71,-0.12,-0.04,,,
SAT38,2021-09-18,22:00:00,Eng Premier [EPL],Manchester City,Southampton,14.5,4.3,1.17,0.16,0.84,-0.1,-0.07,,,
SAT39,2021-09-18,22:00:00,Eng Premier [EPL],Burnley,Arsenal,11.5,2.29,1.55,0.38,0.62,-0.1,-0.07,,,
SAT40,2021-09-18,22:00:00,Eng Premier [EPL],Norwich,Watford,10.5,2.07,1.67,0.46,0.54,-0.04,-0.15,,,
SAT79,2021-09-19,00:30:00,Eng Premier [EPL],Aston Villa,Everton,11.5,2.55,1.45,0.35,0.65,-0.07,-0.13,,,
SAT26,2021-09-18,20:00:00,Spanish Division 1 [SFL],Vallecano,Getafe,9.5,2.58,1.44,0.32,0.68,-0.11,-0.06,,,
SAT80,2021-09-19,00:30:00,Spanish Division 1 [SFL],CF Elche,Levante,12.5,5.8,1.09,0.16,0.84,-0.01,-0.94,,,
