MatchDay,Date,Time,LeagueJC,HomeTeamJC,AwayTeamJC,MAINLINE,CHL_LINE,CHL_H,CHL_L,prob_hi,prob_lo,kelly,bet,selected
SATFB5912,2022-12-31,23:15:00,Spanish Division 1 [SFL],Villarreal,Valencia,True,9.50,1.72,2.00,0.43,0.57,0.13,Low,$
SATFB5904,2022-12-31,23:00:00,Eng Premier [EPL],Manchester City,Everton,True,10.50,1.73,1.98,0.43,0.57,0.12,Low,$
MONFB5900,2023-01-02,00:30:00,Eng Premier [EPL],Nottingham Forest,Chelsea,True,10.50,2.07,1.67,0.36,0.64,0.11,Low,$
SATFB5903,2022-12-31,23:00:00,Eng Premier [EPL],Bournemouth,Crystal Palace,True,9.50,1.93,1.77,0.56,0.44,0.09,High,
TUEFB5921,2023-01-03,00:00:00,French Division 1 [FFL],Lille,Reims,True,9.50,2.00,1.72,0.54,0.46,0.08,High,
SATFB5883,2022-12-31,04:30:00,Spanish Division 1 [SFL],Valladolid,Real Madrid,True,10.50,2.20,1.59,0.36,0.64,0.03,Low,
SUNFB5899,2023-01-01,22:00:00,Eng Premier [EPL],Tottenham,Aston Villa,True,10.50,2.02,1.70,0.51,0.49,0.03,High,
SUNFB5922,2023-01-01,22:00:00,French Division 1 [FFL],Angers SCO,Lorient,True,9.50,2.05,1.68,0.40,0.60,0.02,Low,
SATFB5848,2022-12-31,04:00:00,Eng Premier [EPL],Liverpool,Leicester,True,10.50,1.89,1.81,0.44,0.56,0.01,Low,
SATFB5910,2022-12-31,21:00:00,Spanish Division 1 [SFL],Barcelona,Espanyol,True,9.50,1.95,1.75,0.52,0.48,0.01,High,
SATFB5885,2022-12-31,02:15:00,Spanish Division 1 [SFL],Cadiz,Almeria,True,9.50,1.82,1.88,0.47,0.53,0.01,Low,
SATFB5884,2022-12-31,00:00:00,Spanish Division 1 [SFL],Getafe,Mallorca,True,8.50,1.83,1.87,0.51,0.49,,,
SATFB5882,2022-12-31,02:15:00,Spanish Division 1 [SFL],Celta Vigo,Sevilla,True,8.50,1.86,1.84,0.50,0.50,,,
SATFB5911,2022-12-31,23:15:00,Spanish Division 1 [SFL],Real Sociedad,Osasuna,True,9.50,1.90,1.80,0.45,0.55,,,
SATFB5847,2022-12-31,03:45:00,Eng Premier [EPL],West Ham,Brentford,True,10.50,2.05,1.68,0.41,0.59,,,
SATFB5898,2022-12-31,20:30:00,Eng Premier [EPL],Wolves,Manchester Utd,True,10.50,2.20,1.59,0.38,0.62,,,
SATFB5901,2022-12-31,23:00:00,Eng Premier [EPL],Fulham,Southampton,True,10.50,2.02,1.70,0.48,0.52,,,
SATFB5905,2022-12-31,23:00:00,Eng Premier [EPL],Newcastle,Leeds,True,10.50,1.94,1.76,0.48,0.52,,,
SUNFB5902,2023-01-01,01:30:00,Eng Premier [EPL],Brighton,Arsenal,True,10.50,2.15,1.62,0.40,0.60,,,
SUNFB5925,2023-01-01,22:00:00,French Division 1 [FFL],Monaco,Brest,True,9.50,1.79,1.91,0.54,0.46,,,
SUNFB5924,2023-01-01,22:00:00,French Division 1 [FFL],Nantes,Auxerre,True,9.50,1.83,1.87,0.52,0.48,,,
SUNFB5926,2023-01-01,22:00:00,French Division 1 [FFL],Toulouse,AC Ajaccio,True,9.50,1.90,1.80,0.46,0.54,,,
MONFB5918,2023-01-02,00:00:00,French Division 1 [FFL],Lyon,Clermont,True,9.50,1.95,1.75,0.49,0.51,,,
MONFB5927,2023-01-02,03:45:00,French Division 1 [FFL],Lens,Paris Saint Germain,True,9.50,1.75,1.95,0.52,0.48,,,
MONFB5920,2023-01-02,22:00:00,French Division 1 [FFL],Strasbourg,Troyes,True,9.50,2.15,1.62,0.46,0.54,,,
TUEFB5923,2023-01-03,02:00:00,French Division 1 [FFL],Montpellier,Marseille,True,9.50,1.79,1.91,0.50,0.50,,,
TUEFB5919,2023-01-03,04:00:00,French Division 1 [FFL],Rennes,Nice,True,9.50,1.95,1.75,0.48,0.52,,,
