MatchDay,Date,Time,LeagueJC,HomeTeamJC,AwayTeamJC,MAINLINE,CHL_LINE,CHL_H,CHL_L,prob_hi,prob_lo,kelly,bet,selected
SAT91,2022-05-01,02:30:00,German Division 2 [GD2],Darmstadt,Aue,False,13.50,4.40,1.16,0.08,0.92,0.40,Low,
SAT91,2022-05-01,02:30:00,German Division 2 [GD2],Darmstadt,Aue,False,11.50,2.65,1.42,0.20,0.80,0.34,Low,
SAT91,2022-05-01,02:30:00,German Division 2 [GD2],Darmstadt,Aue,True,10.50,2.10,1.65,0.28,0.72,0.28,Low,$$
SAT45,2022-04-30,22:00:00,Eng Premier [EPL],Wolves,Brighton,False,14.50,5.10,1.12,0.08,0.92,0.27,Low,
SAT45,2022-04-30,22:00:00,Eng Premier [EPL],Wolves,Brighton,False,11.50,2.35,1.52,0.25,0.75,0.26,Low,
MON15,2022-05-03,03:00:00,Eng Premier [EPL],Manchester Utd,Brentford,False,14.50,4.55,1.15,0.10,0.90,0.23,Low,
SAT45,2022-04-30,22:00:00,Eng Premier [EPL],Wolves,Brighton,True,10.50,1.88,1.82,0.35,0.65,0.23,Low,$$
SAT15,2022-04-30,19:30:00,Eng Premier [EPL],Newcastle,Liverpool,False,11.50,2.45,1.48,0.25,0.75,0.22,Low,
SAT93,2022-05-01,02:45:00,Italian Division 1 [ISA],Spezia,Lazio,False,13.50,4.90,1.13,0.09,0.91,0.22,Low,
SAT15,2022-04-30,19:30:00,Eng Premier [EPL],Newcastle,Liverpool,False,14.50,5.30,1.11,0.08,0.92,0.21,Low,
SAT15,2022-04-30,19:30:00,Eng Premier [EPL],Newcastle,Liverpool,True,10.50,1.93,1.77,0.34,0.66,0.21,Low,$$
MON15,2022-05-03,03:00:00,Eng Premier [EPL],Manchester Utd,Brentford,False,11.50,2.20,1.59,0.30,0.70,0.20,Low,
SAT41,2022-04-30,21:30:00,German Division 1 [GSL],Dortmund,Bochum,False,11.50,2.70,1.40,0.23,0.77,0.20,Low,
SAT41,2022-04-30,21:30:00,German Division 1 [GSL],Dortmund,Bochum,False,13.50,4.55,1.15,0.10,0.90,0.20,Low,
