League,TeamName,TeamNameJC
I,Parma,Parma
I,Perugia,Perugia
I,Pescara,Pescara
I,Pisa,Pisa
I,Pordenone,Pordenone
I,Pro Vercelli,Pro Vercelli
I,Reggiana,Reggiana
I,Reggina,Reggina
I,Roma,Roma
I,Salernitana,Salernitana
I,Sampdoria,Sampdoria
I,Sassuolo,Sassuolo
I,Spal,SPAL
I,Spezia,Spezia
I,Ternana,Ternana
I,Torino,AC Torino
I,Trapani,Trapani
I,Udinese,Udinese
I,Venezia,Venezia
I,Verona,Verona
I,Vicenza,Vicenza
I,Virtus Entella,Virtus Entella
SP,Alaves,Alaves
SP,Albacete,Albacete
SP,Alcorcon,Alcorcon
SP,Almeria,Almeria
SP,Amorebieta,Amorebieta
SP,Ath Bilbao,Bilbao
SP,Ath Madrid,Atletico Madrid
SP,Barcelona,Barcelona
SP,Barcelona B,Barcelona B
SP,Betis,Betis
SP,Burgos,Burgos
SP,Cadiz,Cadiz
SP,Cartagena,Cartagena
SP,Castellon,Castellon
SP,Celta,Celta Vigo
SP,Cordoba,Cordoba
SP,Eibar,Eibar
SP,Elche,CF Elche
SP,Eldense,CD Eldense
SP,Espanol,Espanyol
SP,Extremadura UD,Extremadura UD
SP,Ferrol,Racing de Ferrol
SP,Fuenlabrada,Fuenlabrada
SP,Getafe,Getafe
SP,Gimnastic,Gimnastic de Tarragona
SP,Girona,Girona
SP,Granada,CF Granada
SP,Huesca,Huesca
SP,Ibiza,UD Ibiza
SP,La Coruna,Deportivo
SP,Las Palmas,Las Palmas
SP,Leganes,Leganes
SP,Leonesa,Cultural Leonesa
SP,Levante,Levante
SP,Logrones,UD Logrones
SP,Lorca,Lorca CF
SP,Lugo,Lugo
SP,Malaga,Malaga
SP,Mallorca,Mallorca
SP,Mirandes,Mirandes
SP,Numancia,Numancia
SP,Osasuna,Osasuna
SP,Oviedo,Oviedo
SP,Ponferradina,Ponferradina
SP,Rayo Majadahonda,Rayo Majadahonda
SP,Real Madrid,Real Madrid
SP,Reus Deportiu,CF Reus Deportiu
SP,Sabadell,Sabadell
SP,Santander,Santander
SP,Sevilla,Sevilla
SP,Sevilla B,Sevilla B
SP,Sociedad,Real Sociedad
SP,Sociedad B,Real Sociedad B
SP,Sp Gijon,Gijon
SP,Tenerife,Tenerife
SP,Valencia,Valencia
SP,Valladolid,Valladolid
SP,Vallecano,Vallecano
SP,Villarreal,Villarreal
SP,Zaragoza,Zaragoza
